pixel,intensity
516,157
517,152
518,152
519,153
520,157
521,153
522,153
523,155
524,152
525,150
526,154
527,154
528,153
529,154
530,151
531,154
532,153
533,155
534,154
535,152
536,152
537,153
538,152
539,151
540,154
541,154
542,153
543,153
544,152
545,153
546,154
547,151
548,154
549,155
550,152
551,155
552,153
553,155
554,155
555,154
556,155
557,154
558,155
559,154
560,156
561,152
562,153
563,153
564,155
565,153
566,152
567,152
568,151
569,153
570,151
571,152
572,154
573,154
574,152
575,151
576,152
577,155
578,153
579,151
580,149
581,150
582,153
583,155
584,149
585,149
586,151
587,152
588,151
589,149
590,152
591,153
592,153
593,151
594,151
595,151
596,151
597,152
598,150
599,151
600,153
601,149
602,152
603,153
604,151
605,151
606,152
607,151
608,151
609,151
610,154
611,151
612,150
613,152
614,153
615,148
616,154
617,150
618,152
619,151
620,152
621,152
622,150
623,155
624,152
625,151
626,150
627,150
628,149
629,151
630,152
631,149
632,151
633,149
634,150
635,150
636,151
637,151
638,149
639,152
640,153
641,154
642,149
643,153
644,151
645,150
646,149
647,153
648,152
649,152
650,152
651,152
652,152
653,149
654,150
655,151
656,154
657,150
658,152
659,152
660,151
661,153
662,150
663,150
664,153
665,151
666,152
667,152
668,150
669,149
670,150
671,150
672,152
673,151
674,152
675,153
676,150
677,151
678,152
679,151
680,150
681,153
682,152
683,152
684,152
685,149
686,151
687,151
688,150
689,152
690,151
691,152
692,151
693,149
694,150
695,152
696,153
697,151
698,148
699,152
700,151
701,151
702,150
703,155
704,150
705,152
706,152
707,151
708,152
709,151
710,151
711,151
712,151
713,151
714,150
715,153
716,153
717,153
718,152
719,151
720,150
721,149
722,152
723,151
724,150
725,149
726,150
727,152
728,152
729,151
730,149
731,152
732,152
733,150
734,151
735,151
736,152
737,149
738,150
739,150
740,152
741,150
742,149
743,150
744,151
745,151
746,151
747,151
748,150
749,151
750,150
751,152
752,150
753,150
754,153
755,151
756,149
757,152
758,150
759,154
760,152
761,152
762,149
763,153
764,152
765,152
766,150
767,149
768,153
769,150
770,150
771,151
772,151
773,152
774,150
775,152
776,153
777,149
778,149
779,151
780,151
781,151
782,151
783,150
784,150
785,151
786,150
787,151
788,151
789,151
790,150
791,153
792,152
793,151
794,149
795,152
796,150
797,151
798,150
799,149
800,151
801,151
802,150
803,150
804,151
805,151
806,149
807,149
808,151
809,151
810,152
811,152
812,151
813,152
814,153
815,151
816,151
817,150
818,152
819,151
820,152
821,151
822,149
823,149
824,152
825,152
826,149
827,150
828,150
829,152
830,151
831,153
832,149
833,151
834,150
835,153
836,150
837,151
838,151
839,149
840,151
841,150
842,151
843,149
844,152
845,151
846,151
847,149
848,152
849,150
850,151
851,152
852,152
853,150
854,148
855,149
856,150
857,149
858,151
859,152
860,150
861,150
862,151
863,150
864,151
865,151
866,147
867,152
868,149
869,151
870,151
871,151
872,150
873,151
874,150
875,151
876,154
877,150
878,149
879,151
880,153
881,151
882,151
883,150
884,149
885,149
886,150
887,151
888,152
889,150
890,152
891,148
892,150
893,150
894,150
895,150
896,152
897,149
898,150
899,150
900,151
901,151
902,151
903,150
904,150
905,150
906,149
907,151
908,150
909,151
910,149
911,152
912,152
913,149
914,151
915,150
916,149
917,152
918,149
919,151
920,153
921,151
922,149
923,149
924,150
925,151
926,151
927,150
928,150
929,152
930,148
931,151
932,151
933,151
934,148
935,151
936,150
937,152
938,150
939,149
940,147
941,151
942,151
943,155
944,149
945,150
946,148
947,149
948,149
949,146
950,148
951,148
952,150
953,148
954,148
955,149
956,151
957,148
958,149
959,150
960,149
961,146
962,149
963,148
964,149
965,148
966,146
967,147
968,147
969,149
970,148
971,149
972,149
973,148
974,147
975,149
976,148
977,150
978,148
979,148
980,149
981,147
982,149
983,147
984,148
985,148
986,148
987,149
988,146
989,149
990,146
991,149
992,149
993,149
994,149
995,150
996,147
997,148
998,147
999,148
1000,146
1001,149
1002,146
1003,147
1004,149
1005,148
1006,147
1007,148
1008,148
1009,149
1010,148
1011,148
1012,152
1013,149
1014,148
1015,150
1016,149
1017,148
1018,146
1019,149
1020,149
1021,148
1022,147
1023,148
