pixel_index,raman_shift_cm-1,intensity
377,851.011,0.26361443315716854
378,853.662,0.2325468633513949
379,856.312,0.24721761338777967
380,858.962,0.21655403685847824
381,861.610,0.24700993066107338
382,864.257,0.30175146694416244
383,866.904,0.2848487918662855
384,869.549,0.28413640663183903
385,872.193,0.3429244093167638
386,874.837,0.33613970053980236
387,877.479,0.3953316502755559
388,880.120,0.4071654110144554
389,882.760,0.40442713123075114
390,885.400,0.3935930848465306
391,888.038,0.4325449931630141
392,890.675,0.47392507909192444
393,893.312,0.3938745455778188
394,895.947,0.38587216017816867
395,898.581,0.4499179202836081
396,901.214,0.42167629884199337
397,903.847,0.4039581879990925
398,906.478,0.32026256529342645
399,909.108,0.31671042427089025
400,911.737,0.3459439883091168
401,914.366,0.3792247767221377
402,916.993,0.33640886156132754
403,919.619,0.29399726070279525
404,922.245,0.2965143752423195
405,924.869,0.3188646304344522
406,927.492,0.31652362110638244
407,930.114,0.3145869180375896
408,932.736,0.29848289649326976
409,935.356,0.2981643349832666
410,937.975,0.3901322517704202
411,940.594,0.39831286889403456
412,943.211,0.35954000915563483
413,945.827,0.3580052697123433
414,948.442,0.28037380453176153
415,951.057,0.30960043249861957
416,953.670,0.29956415624628463
417,956.283,0.28709879884112294
418,958.894,0.2972999316515319
419,961.504,0.2933337289335078
420,964.114,0.35655841709887237
421,966.722,0.35137694888503745
422,969.329,0.36076662001296605
423,971.936,0.4134659078228923
424,974.541,0.4212355395063539
425,977.146,0.46826711284070754
426,979.749,0.49951227385905805
427,982.352,0.47854196452350045
428,984.953,0.39604653606110446
429,987.553,0.2929074851620663
430,990.153,0.18369643395302213
431,992.751,0.12750940779898723
432,995.349,0.09925083335388801
433,997.946,0.1648977802080636
434,1000.541,0.2220441204809793
435,1003.136,0.2893091495557425
436,1005.729,0.3707405400002734
437,1008.322,0.37445611391989564
438,1010.914,0.28871761920829325
439,1013.504,0.2527650073494499
440,1016.094,0.19009725805270716
441,1018.682,0.13754819555652584
442,1021.270,0.13195164414464333
443,1023.857,0.14821203098155755
444,1026.443,0.20090097884571867
445,1029.027,0.2454940845078569
446,1031.611,0.2528481022484641
447,1034.194,0.30310695785817315
448,1036.776,0.3331269523598271
449,1039.357,0.3388604128716925
450,1041.937,0.35309349101218884
451,1044.515,0.3389923625454045
452,1047.093,0.3625340979165124
453,1049.670,0.2670737516629805
454,1052.246,0.2327327734009932
455,1054.821,0.22267733906263862
456,1057.395,0.20695466875065077
457,1059.968,0.21187463754881883
458,1062.540,0.2018177234174205
459,1065.112,0.19135554977131228
460,1067.682,0.22784589150538637
461,1070.251,0.2598833019330109
462,1072.819,0.3125633544335345
463,1075.386,0.2608129534848836
464,1077.953,0.2689676243387949
465,1080.518,0.31557470079303734
466,1083.082,0.4075152278047089
467,1085.645,0.3395721842641154
468,1088.208,0.32748654289550655
469,1090.769,0.29070961159655545
470,1093.330,0.31343299010512127
471,1095.889,0.32603670353982017
472,1098.448,0.31799680310813727
473,1101.005,0.27474166703673336
474,1103.562,0.3055584679168888
475,1106.117,0.3262556081502545
476,1108.672,0.3777145864077132
477,1111.226,0.306123829264768
478,1113.778,0.2944381583688005
479,1116.330,0.2661565549949247
480,1118.881,0.258112844936263
481,1121.431,0.2703070295629469
482,1123.980,0.24364308422684583
483,1126.528,0.2914558548491259
484,1129.074,0.2793625987273426
485,1131.620,0.2664593434175798
486,1134.165,0.2883656130084972
487,1136.709,0.3187715344569801
488,1139.253,0.32084328490718234
489,1141.795,0.31684306758728564
490,1144.336,0.2921992612999164
491,1146.876,0.3456750893625753
492,1149.415,0.345721180441135
493,1151.954,0.35831460647498786
494,1154.491,0.26242994603611713
495,1157.027,0.24102202132365394
496,1159.563,0.22932806590970206
497,1162.097,0.24596737755173295
498,1164.631,0.20674835939788289
499,1167.163,0.23552980771300078
500,1169.695,0.24812012570301276
501,1172.226,0.2562575671116101
502,1174.755,0.25994213396058324
503,1177.284,0.2551261552823508
504,1179.812,0.2705481115768305
505,1182.339,0.31268428177628255
506,1184.865,0.3552247934001242
507,1187.390,0.38359802574461344
508,1189.914,0.38323235813248097
509,1192.437,0.452891014396205
510,1194.959,0.40961917639217765
511,1197.480,0.3772756407114725
512,1200.000,0.3412887867798638
513,1202.519,0.2619914213411013
514,1205.038,0.2749805928114868
515,1207.555,0.3001123778113122
516,1210.071,0.2649334317178781
517,1212.587,0.29330255126998445
518,1215.101,0.29698046712511184
519,1217.615,0.37473040336195074
520,1220.127,0.37274078780460174
521,1222.639,0.3646792718705058
522,1225.150,0.365117480947447
523,1227.660,0.2898638188240234
524,1230.168,0.2967775357434895
525,1232.676,0.2543092612359286
526,1235.183,0.1916022436383868
527,1237.689,0.2045863360939235
528,1240.194,0.1548311240664444
529,1242.698,0.2503870033186517
530,1245.201,0.3111325272772668
531,1247.704,0.32937711992462976
532,1250.205,0.3350735643233282
533,1252.705,0.3533174359345757
534,1255.205,0.3472749130744218
535,1257.703,0.33920820012983777
536,1260.201,0.29228347545415073
537,1262.697,0.23928689331594147
538,1265.193,0.21300460800171697
539,1267.688,0.3016758941522239
540,1270.182,0.3304412803030195
541,1272.674,0.266514617912907
542,1275.166,0.26654085566571056
543,1277.657,0.3305199964934084
544,1280.147,0.26497327311869295
545,1282.636,0.2674271317484651
546,1285.125,0.26826159946545697
547,1287.612,0.22416657798001702
548,1290.098,0.19828576937177075
549,1292.583,0.1800952268208231
550,1295.068,0.1327611289095326
551,1297.551,0.12873682570076836
552,1300.034,0.19028452185719
553,1302.516,0.1935454261316652
554,1304.996,0.22554451149019325
555,1307.476,0.29680573088545514
556,1309.955,0.33082806741162635
557,1312.433,0.30130164958954236
558,1314.910,0.313465979013541
559,1317.386,0.30134398865938433
560,1319.861,0.2871978832909786
561,1322.335,0.3370047362701188
562,1324.808,0.27185740342485715
563,1327.281,0.19820968831158078
564,1329.752,0.24761096720426956
565,1332.223,0.26624966866960664
566,1334.692,0.206768021638424
567,1337.161,0.23754922687170557
568,1339.628,0.2889733117243428
569,1342.095,0.28089635371541916
570,1344.561,0.2647238034341017
571,1347.026,0.2481462428915663
572,1349.490,0.21942542362433343
573,1351.953,0.18908529877186314
574,1354.415,0.2093408535591659
575,1356.876,0.2579298897008704
576,1359.337,0.23892256000439321
577,1361.796,0.3061304424495213
578,1364.255,0.3462186958827563
579,1366.712,0.3474490718903207
580,1369.169,0.36770329796144097
581,1371.625,0.3410043072625593
582,1374.079,0.38837752636338047
583,1376.533,0.35601138396608567
584,1378.986,0.3098829536154351
585,1381.438,0.2694210691621216
586,1383.889,0.23462573397819347
587,1386.339,0.24516414700891084
588,1388.789,0.2391069144697396
589,1391.237,0.2532878642009295
590,1393.685,0.3022786224508569
591,1396.131,0.3018875938493388
592,1398.577,0.33630638054716433
593,1401.021,0.3541295386188356
594,1403.465,0.3290471968479013
595,1405.908,0.3189410827788123
596,1408.350,0.3606450242676185
597,1410.791,0.33434790340314036
598,1413.231,0.2914551709055494
599,1415.670,0.27932460447829477
600,1418.109,0.29795620752303087
601,1420.546,0.26315838468217456
602,1422.983,0.2736943609784378
603,1425.418,0.26763474264832354
604,1427.853,0.2963849804110169
605,1430.287,0.32715892622532605
606,1432.719,0.29802718632427055
607,1435.151,0.26687148825032714
608,1437.582,0.27700193668178585
609,1440.012,0.29927528928550234
610,1442.442,0.3628347951744345
611,1444.870,0.32155946181087963
612,1447.297,0.34383249009585515
613,1449.724,0.3559862344941942
614,1452.149,0.37259232124348934
615,1454.574,0.3462929794130927
616,1456.998,0.27708821237011894
617,1459.421,0.27143182383130154
618,1461.843,0.25282279712790906
619,1464.264,0.2686189099145182
620,1466.684,0.343915738245287
621,1469.103,0.32085403778805255
622,1471.521,0.3823886322587755
623,1473.939,0.4046607306580661
624,1476.355,0.43138520489493526
625,1478.771,0.37837045952580417
626,1481.186,0.3443797194805503
627,1483.600,0.26748359089600615
628,1486.013,0.23592134884200586
629,1488.425,0.20638289531910892
630,1490.836,0.19465415837173414
631,1493.246,0.18252061269066366
632,1495.655,0.16998226153553983
633,1498.064,0.2043968824589258
634,1500.471,0.23435903138257372
635,1502.878,0.28496428424492987
636,1505.284,0.3193788198102163
637,1507.688,0.3230310184273631
638,1510.092,0.3141354118746224
639,1512.495,0.33600210462647245
640,1514.898,0.3692022693785754
641,1517.299,0.32671093942676627
642,1519.699,0.2821957668407944
643,1522.099,0.2870622020834379
644,1524.497,0.24659469968175646
645,1526.895,0.24903253453085436
646,1529.292,0.2101841109772939
647,1531.687,0.20655045214012754
648,1534.082,0.1616305410721915
649,1536.477,0.2478552513747262
650,1538.870,0.28631743873596016
651,1541.262,0.26163594872756013
652,1543.654,0.24343076026931013
653,1546.044,0.23939245510192808
654,1548.434,0.21268721176104075
655,1550.822,0.19610118466391144
656,1553.210,0.22242052821211333
657,1555.597,0.24023979803202772
658,1557.983,0.2746545697601773
659,1560.369,0.3256648463094653
660,1562.753,0.34591285627390594
661,1565.136,0.33539860253245596
662,1567.519,0.3046460377915737
663,1569.901,0.2864413163350165
664,1572.281,0.23706957240216975
665,1574.661,0.28038960312913863
666,1577.040,0.28485203824375604
667,1579.418,0.27676675512855653
668,1581.795,0.3221108267162108
669,1584.172,0.333049751263737
670,1586.547,0.280845053060614
671,1588.922,0.2063782322734008
672,1591.296,0.13595916618623347
673,1593.668,0.08820715332990163
674,1596.040,0.005240472187973594
675,1598.411,0.06353766892284331
676,1600.781,0.0
677,1603.151,0.02672553409075001
678,1605.519,0.052641630850922244
679,1607.887,0.12510606710473404
680,1610.253,0.15871294468741953
681,1612.619,0.18220074449841298
682,1614.984,0.20973632455187688
683,1617.348,0.27005816570076335
684,1619.711,0.3145941941444999
685,1622.073,0.357916035127973
686,1624.435,0.2761648966811979
687,1626.795,0.2522956015187294
688,1629.155,0.1875449303283261
689,1631.513,0.15558053430835392
690,1633.871,0.14587846587258588
691,1636.228,0.0888187513569922
692,1638.584,0.09085519332283785
693,1640.940,0.10827292536444053
694,1643.294,0.23578749824023282
695,1645.647,0.2892297917919475
696,1648.000,0.33700548211187326
697,1650.352,0.40785304969568215
698,1652.703,0.45036704926944504
699,1655.053,0.44228528125563416
700,1657.402,0.4204415721006372
701,1659.750,0.2937632808765997
702,1662.097,0.27030080260311995
703,1664.444,0.2039331432595952
704,1666.789,0.20920945110824019
705,1669.134,0.15174698381951846
706,1671.478,0.22138160771727902
707,1673.821,0.26430174992893274
708,1676.163,0.2845550852249129
709,1678.505,0.2821416153275914
710,1680.845,0.25301366891099564
711,1683.185,0.25505297178202196
712,1685.523,0.31052172716394677
713,1687.861,0.27329894072968713
714,1690.198,0.23810016264750528
715,1692.534,0.2482354957338364
716,1694.869,0.325967143082527
717,1697.204,0.3397457330980959
718,1699.537,0.3438100856443983
719,1701.870,0.3235885792580598
720,1704.201,0.3450582854854551
721,1706.532,0.2738364614838862
722,1708.862,0.24552015462806667
723,1711.191,0.20101334012724692
724,1713.520,0.1771498436649106
725,1715.847,0.18566791818211945
726,1718.174,0.19378141339433183
727,1720.499,0.23063357614531776
728,1722.824,0.2197233874918979
729,1725.148,0.24119477422275198
730,1727.471,0.3160956370376448
