# laser_power_pct,10
# exposure_time,0.2
# mode,kinetic
frame_index,pixel_index,intensity
0,576,99
0,577,99
0,578,99
0,579,99
0,580,100
0,581,98
0,582,98
0,583,99
0,584,97
0,585,100
0,586,98
0,587,99
0,588,99
0,589,98
0,590,98
0,591,100
0,592,99
0,593,99
0,594,100
0,595,96
0,596,99
0,597,99
0,598,99
0,599,101
0,600,99
0,601,97
0,602,97
0,603,98
0,604,98
0,605,99
0,606,98
0,607,100
0,608,98
0,609,98
0,610,99
0,611,97
0,612,98
0,613,99
0,614,98
0,615,98
0,616,99
0,617,97
0,618,97
0,619,99
0,620,100
0,621,98
0,622,99
0,623,97
0,624,98
0,625,98
0,626,98
0,627,99
0,628,101
0,629,97
0,630,98
0,631,98
0,632,100
0,633,98
0,634,99
0,635,99
0,636,97
0,637,99
0,638,97
0,639,97
0,640,97
0,641,99
0,642,97
0,643,99
0,644,99
0,645,98
0,646,100
0,647,99
0,648,99
0,649,97
0,650,99
0,651,98
0,652,99
0,653,99
0,654,97
0,655,100
0,656,99
0,657,100
0,658,97
0,659,99
0,660,99
0,661,98
0,662,97
0,663,98
0,664,98
0,665,98
0,666,99
0,667,99
0,668,98
0,669,98
0,670,98
0,671,99
0,672,98
0,673,98
0,674,97
0,675,100
0,676,99
0,677,99
0,678,99
0,679,98
0,680,100
0,681,97
0,682,96
0,683,99
0,684,98
0,685,97
0,686,99
0,687,101
0,688,98
0,689,98
0,690,97
0,691,99
0,692,99
0,693,98
0,694,97
0,695,99
0,696,99
0,697,98
0,698,99
0,699,98
0,700,98
0,701,100
0,702,99
0,703,99
0,704,99
0,705,98
0,706,97
0,707,99
0,708,99
0,709,97
0,710,98
0,711,99
0,712,99
0,713,98
0,714,99
0,715,99
0,716,98
0,717,98
0,718,97
0,719,98
0,720,98
0,721,98
0,722,97
0,723,98
0,724,99
0,725,100
0,726,99
0,727,98
0,728,100
0,729,100
0,730,97
0,731,98
0,732,100
0,733,97
0,734,98
0,735,99
0,736,100
0,737,99
0,738,96
0,739,99
0,740,99
0,741,99
0,742,97
0,743,97
0,744,99
0,745,98
0,746,98
0,747,97
0,748,99
0,749,98
0,750,98
0,751,100
0,752,99
0,753,99
0,754,98
0,755,97
0,756,99
0,757,99
0,758,99
0,759,98
0,760,98
0,761,100
0,762,99
0,763,99
0,764,99
0,765,99
0,766,99
0,767,98
0,768,98
0,769,98
0,770,99
0,771,98
0,772,97
0,773,98
0,774,99
0,775,98
0,776,99
0,777,96
0,778,99
0,779,98
0,780,99
0,781,98
0,782,99
0,783,98
0,784,97
0,785,97
0,786,98
0,787,98
0,788,99
0,789,98
0,790,98
0,791,98
0,792,99
0,793,99
0,794,99
0,795,97
0,796,98
0,797,98
0,798,98
0,799,98
0,800,99
0,801,98
0,802,97
0,803,99
0,804,99
0,805,97
0,806,99
0,807,97
0,808,98
0,809,99
0,810,99
0,811,97
0,812,100
0,813,99
0,814,100
0,815,98
0,816,98
0,817,97
0,818,97
0,819,99
0,820,99
0,821,96
0,822,98
0,823,98
0,824,98
0,825,99
0,826,97
0,827,100
0,828,100
0,829,99
0,830,98
0,831,97
0,832,98
0,833,98
0,834,99
0,835,98
0,836,99
0,837,97
0,838,98
0,839,98
0,840,98
0,841,98
0,842,99
0,843,99
0,844,99
0,845,97
0,846,97
0,847,98
0,848,99
0,849,99
0,850,99
0,851,98
0,852,98
0,853,98
0,854,99
0,855,99
0,856,98
0,857,98
0,858,99
0,859,97
0,860,99
0,861,99
0,862,98
0,863,99
0,864,100
0,865,96
0,866,98
0,867,97
0,868,100
0,869,98
0,870,99
0,871,100
0,872,97
0,873,98
0,874,97
0,875,99
0,876,98
0,877,99
0,878,97
0,879,99
0,880,98
0,881,99
0,882,97
0,883,98
0,884,99
0,885,98
0,886,99
0,887,98
0,888,98
0,889,100
0,890,98
0,891,98
0,892,98
0,893,100
0,894,98
0,895,99
0,896,97
0,897,96
0,898,96
0,899,99
0,900,99
0,901,98
0,902,99
0,903,97
0,904,98
0,905,97
0,906,98
0,907,98
0,908,100
0,909,99
0,910,98
0,911,99
0,912,97
0,913,99
0,914,99
0,915,99
0,916,98
0,917,98
0,918,98
0,919,98
0,920,97
0,921,97
0,922,96
0,923,98
0,924,97
0,925,98
0,926,98
0,927,99
0,928,99
0,929,98
0,930,98
0,931,96
0,932,98
0,933,98
0,934,95
0,935,99
0,936,98
0,937,98
0,938,97
0,939,100
0,940,98
0,941,100
0,942,98
0,943,98
0,944,98
0,945,98
0,946,97
0,947,99
0,948,98
0,949,97
0,950,98
0,951,99
0,952,98
0,953,97
0,954,99
0,955,98
0,956,99
0,957,97
0,958,97
0,959,98
0,960,98
0,961,97
0,962,97
0,963,97
0,964,96
0,965,99
0,966,97
0,967,98
0,968,98
0,969,98
0,970,98
0,971,98
0,972,98
0,973,98
0,974,98
0,975,99
0,976,97
0,977,98
0,978,97
0,979,97
0,980,97
0,981,97
0,982,99
0,983,98
0,984,99
0,985,98
0,986,96
0,987,98
0,988,98
0,989,98
0,990,98
0,991,99
0,992,98
0,993,100
0,994,98
0,995,98
0,996,98
0,997,100
0,998,99
0,999,98
0,1000,98
0,1001,98
0,1002,99
0,1003,97
0,1004,97
0,1005,99
0,1006,98
0,1007,99
0,1008,97
0,1009,96
0,1010,98
0,1011,98
0,1012,100
0,1013,99
0,1014,99
0,1015,98
0,1016,99
