pixel_index,raman_shift_cm-1,corrected_intensity,background_intensity
199,362.51409915774883,8.192842555668335,671.8071574443317
200,365.35287003155264,8.16791473546607,671.8320852645339
201,368.1905440341797,2.1432376417340038,671.856762358266
202,371.0271216842494,2.118808913465614,671.8811910865344
203,373.8626035000841,12.09462620714396,671.905373792856
204,376.6969899996809,5.070687196687459,671.9293128033125
205,379.53028170073554,12.046989573393148,671.9530104266069
206,382.3624791206358,0.0,671.9764689541176
207,385.1935827764571,8.000309340044623,671.9996906599554
208,388.0235931849564,10.977322198982392,672.0226778010176
209,390.8525108625911,14.954567382955815,672.0454326170442
210,393.68033632551084,0.932042669326961,672.067957330673
211,396.50707008954436,4.909745852504443,672.0902541474956
212,399.33271267022326,4.887674743888169,672.1123252561118
213,402.1572645827539,15.865827171813862,672.1341728281861
214,404.9807263420608,9.844200981497352,672.1557990185026
215,407.8030984627323,0.8227940349795517,672.1772059650204
216,410.62438145907055,8.80160421107064,672.1983957889294
217,413.44457584505244,0.0,672.2193705947053
218,416.26368213436206,11.75986752983465,672.2401324701653
219,419.08170084036055,4.739316513476069,672.2606834865239
220,421.8986324761248,9.718974301552635,672.2810256984474
221,424.714477554398,4.698838855890017,672.30116114411
222,427.5292365876304,10.678908154750502,672.3210918452495
223,430.3429100879666,0.0,672.340819807222
224,433.1554985672454,14.639652980942174,672.3603470190578
225,435.96700253699555,8.620324546483062,672.3796754535169
226,438.7774225084445,11.601192932855838,672.3988070671442
227,441.5867589925072,9.582256199675271,672.4177438003247
228,444.3950124997996,5.563512422659983,672.43648757734
229,447.20218354062956,1.5449596935776526,672.4550403064223
230,450.00827262500155,8.526596120188742,672.4734038798113
231,452.813280262612,10.50841982619204,672.491580173808
232,455.6172069628602,13.490428951168383,672.5095710488316
233,458.4200532348377,0.0,672.5273783494746
234,461.2218195873324,4.454996095442539,672.5450039045575
235,464.0225065288264,0.43755047281490533,672.5624495271851
236,466.8221145674918,6.4202829851985825,672.5797170148014
237,469.62064421121437,4.403191850754524,672.5968081492455
238,472.4180959675677,5.386275303193543,672.6137246968065
239,475.21447034381754,13.369531591720488,672.6304684082795
240,478.009767846939,2.352958980979338,672.6470410190207
241,480.80398898359266,13.336555750997377,672.6634442490026
242,483.59713426014434,5.320320197129604,672.6796798028704
243,486.38920418266065,0.30425063000382124,672.6957493699962
244,489.1801992568936,5.288345375464814,672.7116546245352
245,491.9701199883092,11.27260277451876,672.7273972254812
246,494.7589668820654,9.257021183278312,672.7429788167217
247,497.54674044301436,0.0,672.7584010270933
248,500.33344117572005,6.22633452956245,672.7736654704375
249,503.1190695844361,1.2112262543439556,672.788773745656
250,505.90362617311274,5.196272563234288,672.8037274367657
251,508.6871114454096,10.18147188704495,672.818528112955
252,511.46952590468925,8.166822671361388,672.8331773286386
253,514.2508700539954,11.152323376487061,672.8476766235129
254,517.03114439609,13.137972477388075,672.8620275226119
255,519.8103494334378,2.123768463637589,672.8762315363624
256,522.5884856681914,7.109709839360562,672.8902901606394
257,525.3655536022195,0.0,672.9042048768214
258,528.1415537370738,0.0,672.9179771518461
259,530.91648657402,6.068391561733961,672.931608438266
260,533.6903526140246,13.054899825696566,672.9451001743034
261,536.463152357757,12.041546216093934,672.9584537839061
262,539.234886305594,9.028329323197568,672.9716706768024
263,542.0055549575955,8.015247751442303,672.9847522485577
264,544.7751588135525,9.002300119371512,672.9976998806285
265,547.5436983729313,6.989485059581284,673.0105149404187
266,550.3111741349221,0.0,673.0231987813349
267,553.0775865984078,4.964247257157922,673.0357527428421
268,555.8429362619825,0.0,673.0481781505181
269,558.6072236239345,26.939523683889774,673.0604763161102
270,561.3704491822684,5.927351462410002,673.07264853759
271,564.132613434683,0.0,673.084696099209
272,566.893716878584,3.903379728445998,673.096620271554
273,569.653760011089,8.89157768839766,673.1084223116023
274,572.4127433290121,6.87989653722218,673.1201034627778
275,575.1706673288808,4.86833504499441,673.1316649550056
276,577.9275325069194,3.8568919952319902,673.143108004768
277,580.6833393590637,0.0,673.1544338151601
278,583.4380883809479,0.0,673.1656435759444
279,586.1917800679311,15.823261536392693,673.1767384636073
280,588.9444149150598,0.0,673.1877196414137
281,591.6959934170904,7.801411740537105,673.1985882594629
282,594.4465160684929,6.790654545256189,673.2093454547438
283,597.1959833634419,0.0,673.2199923511907
284,599.94439579582,10.769469940261843,673.2305300597382
285,602.6917538592145,4.759040321622933,673.2409596783771
286,605.43805804692,9.74871770779032,673.2512822922097
287,608.1833088519405,0.738501026494987,673.261498973505
288,610.9275067669897,6.728389218245411,673.2716107817546
289,613.6706522845013,2.7183812362721937,673.2816187637278
290,616.4127458965817,5.708476046472811,673.2915239535272
291,619.1537880950877,20.698672627356018,673.301327372644
292,621.8937793715644,4.688969969986601,673.3110300300134
293,624.632720217259,3.6793670779294416,673.3206329220706
294,627.3706111231508,0.0,673.3301370328053
295,630.1074525799102,8.660456666182085,673.3395433338179
296,632.843245077922,0.0,673.3488527843748
297,635.5779891072891,0.0,673.3580663314635
298,638.3116851578193,8.632815090151666,673.3671849098483
299,641.0443337190189,0.0,673.3762094421259
300,643.7759352801255,6.614859161219556,673.3851408387804
301,646.5064903300819,0.6060200017608395,673.3939799982392
302,649.2359993575335,7.5972721930719445,673.402727806928
303,651.964462850842,0.0,673.411385139327
304,654.6918812980803,2.580047141975001,673.419952858025
305,657.418255187042,7.571568186223658,673.4284318137763
306,660.1435850052211,10.563177154444475,673.4368228455555
307,662.8678712398279,8.554873219387446,673.4451267806126
308,665.591114377786,3.5466555654711556,673.4533444345288
309,668.3133149057311,7.538523388727754,673.4614766112722
310,671.0344733100102,5.530475896747021,673.469524103253
311,673.7545900766884,3.522512308621458,673.4774876913785
312,676.4736656915469,0.0,673.4853681451093
313,679.1917006400569,9.506833777485781,673.4931662225142
314,681.9086954074419,4.49911732967405,673.500882670326
315,684.6246504786071,0.0,673.5085182239966
316,687.3395663381889,15.483926392247213,673.5160736077528
317,690.053443470535,7.476450465348535,673.5235495346515
318,692.7662823596982,7.46905329336505,673.530946706635
319,695.4780834894625,5.461734185413206,673.5382658145868
320,698.1888473433086,8.454492461613086,673.5455075383869
321,700.8985744044608,7.447327453032585,673.5526725469674
322,703.6072651558228,6.440238501632621,673.5597614983674
323,706.3149200800382,0.0,673.5667750397888
324,709.0215396594575,9.426286192347789,673.5737138076522
325,711.7271243761627,0.0,673.5805784276515
326,714.4316747119233,3.412630485190334,673.5873695148097
327,717.1351911482507,0.0,673.5940876735347
328,719.837674166366,1.3992665023260997,673.6007334976739
329,722.5391242472018,12.39269242942919,673.6073075705708
330,725.2395418714153,14.386189534880828,673.6138104651192
331,727.9389275193752,0.37975725618036904,673.6202427438196
332,730.6372816711727,0.0,673.6266049588342
333,733.3346048066128,0.0,673.6328976520422
334,736.0308974052208,2.3608786449042327,673.6391213550958
335,738.7261599462402,0.0,673.6452765894751
336,741.4203929086323,5.348636133456239,673.6513638665438
337,744.1135967710768,1.3426163123956485,673.6573836876044
338,746.80577201198,6.336663456045812,673.6633365439542
339,749.4969191094514,17.330777083059957,673.66922291694
340,752.1870385413356,0.0,673.6750432780141
341,754.8761307851868,0.0,673.6807980887895
342,757.5641963182837,0.0,673.6864878010955
343,760.25123561763,4.3078871429672745,673.6921128570327
344,762.9372491599297,7.302326310970784,673.6976736890292
345,765.6222374216267,0.0,673.7031707198954
346,768.3062008788789,2.2913956371205586,673.7086043628794
347,770.9891400075751,16.2860249782766,673.7139750217234
348,773.671055283307,13.280716909282432,673.7192830907176
