pixel_index,raman_shift_cm-1,corrected_intensity,background_intensity
82,20.26910999158296,0.0,789.6449312141222
83,23.247883421629798,0.0,831.3500533672077
84,26.225484097888025,0.0,872.9315615462137
85,29.201912589600642,0.0,914.3896652823
86,32.17716946566371,0.0,955.7245747735797
87,35.151255294622004,0.0,996.9365008817695
88,38.124170644658186,0.0,1038.0256551288403
89,41.09591608362096,0.0,1078.9922496936651
90,44.066492178986095,0.0,1119.8364974086708
91,47.03589949790624,0.0,1160.5586117564872
92,50.00413860715243,0.0,1201.1588068665942
93,52.97121007317041,0.0,1241.6372975119766
94,55.937114462059014,0.0,1281.9942991057696
95,58.901852339537584,0.0,1322.2300276979076
96,61.86542427100888,119.65530002822015,1362.3446999717798
97,64.82783082150702,503.6614667591266,1402.3385332408734
98,67.78907255572787,990.7882545545735,1442.2117454454265
99,70.74915003800736,1494.0354448509243,1481.9645551490757
100,73.70806383234958,2081.4028184644894,1521.5971815355106
101,76.66581450239876,2628.8901555948823,1561.1098444051177
102,79.62240261146295,3078.4972358283676,1600.5027641716324
103,82.57782872247728,3289.2238381412108,1639.7761618587892
104,85.53209339806676,3403.069740903028,1678.930259096972
105,88.48519720047916,3433.034721880138,1717.965278119862
106,91.43714069163477,3476.1185582389135,1756.8814417610865
107,94.3879244330939,3527.321026549127,1795.678973450873
108,97.33754898608301,3376.641902787308,1834.358097212692
109,100.28601491147721,3386.0809623400837,1872.9190376599163
110,103.23332276980686,3423.63798000754,1911.3620199924599
111,106.17947312124669,3383.3127300065644,1949.6872699934356
112,109.12446652565268,3323.104985974197,1987.895014025803
113,112.0683035425122,3366.014520970987,2025.9854790290128
114,115.01098473097865,3332.041107484335,2063.958892515665
115,117.95251064985199,3264.184517431848,2101.815482568152
116,120.89288185760913,3232.4445221646884,2139.5554778353116
117,123.83209891236478,3255.8208924709243,2177.1791075290757
118,126.77016237188894,3245.313398578881,2214.686601421119
119,129.70707279362418,3164.9218101604883,2252.0781898395117
120,132.64283073466171,3155.645896334635,2289.354103665365
121,135.5774367517502,3112.4854256705166,2326.5145743294834
122,138.51089140128926,3087.440166190985,2363.559833809015
123,141.44319523935744,3027.5098853759027,2400.4901146240973
