# laser_power_pct,10
# exposure_time,0.2
# mode,kinetic
frame_index,pixel,intensity
0,276,649
0,277,658
0,278,650
0,279,653
0,280,648
0,281,650
0,282,657
0,283,651
0,284,660
0,285,654
0,286,656
0,287,655
0,288,648
0,289,650
0,290,647
0,291,655
0,292,653
0,293,655
0,294,649
0,295,655
0,296,647
0,297,656
0,298,646
0,299,654
0,300,644
0,301,654
0,302,651
0,303,651
0,304,650
0,305,657
0,306,648
0,307,656
0,308,654
0,309,653
0,310,648
0,311,651
0,312,653
0,313,655
0,314,651
0,315,656
0,316,648
0,317,651
0,318,650
0,319,649
0,320,666
0,321,651
0,322,654
0,323,650
0,324,650
0,325,648
0,326,654
0,327,658
0,328,644
0,329,651
0,330,656
0,331,650
0,332,644
0,333,652
0,334,649
0,335,653
0,336,651
0,337,649
0,338,652
0,339,663
0,340,649
0,341,650
0,342,645
0,343,651
0,344,653
0,345,652
0,346,659
0,347,654
0,348,657
0,349,654
0,350,651
0,351,655
0,352,655
0,353,652
0,354,649
0,355,656
0,356,649
0,357,646
0,358,650
0,359,650
0,360,650
0,361,655
0,362,656
0,363,647
0,364,654
0,365,650
0,366,653
0,367,646
0,368,654
0,369,658
0,370,655
0,371,654
0,372,651
0,373,649
0,374,652
0,375,649
0,376,653
0,377,651
0,378,652
0,379,652
0,380,657
0,381,646
0,382,652
0,383,654
0,384,651
0,385,651
0,386,653
0,387,646
0,388,649
0,389,643
0,390,651
0,391,654
0,392,658
0,393,653
0,394,651
0,395,654
0,396,652
0,397,653
0,398,647
0,399,658
0,400,659
0,401,651
0,402,651
0,403,659
0,404,655
0,405,652
0,406,660
0,407,659
0,408,657
0,409,655
0,410,667
0,411,662
0,412,662
0,413,661
0,414,660
0,415,665
0,416,652
0,417,655
0,418,663
0,419,658
0,420,662
0,421,651
0,422,663
0,423,664
0,424,655
0,425,657
0,426,663
0,427,658
0,428,654
0,429,655
0,430,656
0,431,648
0,432,650
0,433,659
0,434,654
0,435,654
0,436,652
0,437,650
0,438,653
0,439,655
0,440,651
0,441,651
0,442,652
0,443,654
0,444,651
0,445,652
0,446,650
0,447,652
0,448,655
0,449,645
0,450,655
0,451,656
0,452,656
0,453,648
0,454,647
0,455,644
0,456,648
0,457,652
0,458,647
0,459,649
0,460,653
0,461,655
0,462,654
0,463,658
0,464,656
0,465,656
0,466,654
0,467,650
0,468,653
0,469,665
0,470,653
0,471,652
0,472,653
0,473,652
0,474,651
0,475,656
0,476,657
0,477,653
0,478,652
0,479,650
0,480,655
0,481,654
0,482,650
0,483,653
0,484,649
0,485,650
0,486,650
0,487,650
0,488,649
0,489,644
0,490,650
0,491,652
0,492,647
0,493,653
0,494,652
0,495,656
0,496,649
0,497,654
0,498,654
0,499,655
0,500,647
0,501,653
0,502,648
0,503,655
0,504,651
0,505,656
0,506,653
0,507,658
0,508,654
0,509,650
0,510,661
0,511,658
0,512,659
0,513,663
0,514,650
0,515,649
0,516,649
0,517,646
0,518,651
0,519,654
0,520,659
0,521,655
0,522,655
0,523,647
0,524,651
0,525,651
0,526,660
0,527,657
0,528,655
0,529,651
