System,,,
Type,MANTARAY,,
Unit,WAVENUMBER,,
Rayleigh,532.021nm,,
Grating,1200gr,,
,,,
Measuring Condition,,,
Acquisition Mode,SINGLE,,
Exposure Time,0.2s,,
Laser Filter,532nm,,
ND Filter,20%,,
Lens Magnification,MPLFLN20x,,
X Pixels,1024,Y Pixels,255
,,,
,,,
X Axis Data,Y Axis Data,,
1259.98,325,,
1262.48,335,,
1264.97,327,,
1267.47,322,,
1269.97,331,,
1272.47,334,,
1274.96,344,,
1277.46,345,,
1279.95,353,,
1282.44,356,,
1284.94,354,,
1287.43,355,,
1289.92,362,,
1292.41,355,,
1294.9,372,,
1297.39,359,,
1299.88,367,,
1302.36,386,,
1304.85,379,,
1307.33,386,,
1309.82,403,,
1312.3,405,,
1314.79,408,,
1317.27,400,,
1319.75,408,,
1322.23,401,,
1324.71,395,,
1327.19,383,,
1329.67,384,,
1332.15,370,,
1334.63,376,,
1337.1,373,,
1339.58,372,,
1342.05,362,,
1344.53,362,,
1347,369,,
1349.47,364,,
1351.94,374,,
1354.42,371,,
1356.89,379,,
1359.35,380,,
1361.82,380,,
1364.29,384,,
1366.76,376,,
1369.23,377,,
1371.69,379,,
1374.16,372,,
1376.62,370,,
1379.08,357,,
1381.55,371,,
1384.01,363,,
1386.47,354,,
1388.93,361,,
1391.39,354,,
1393.85,358,,
1396.31,356,,
1398.76,351,,
1401.22,353,,
1403.67,350,,
1406.13,343,,
1408.58,351,,
1411.04,345,,
1413.49,339,,
1415.94,343,,
1418.39,342,,
1420.84,348,,
1423.29,346,,
1425.74,347,,
1428.19,349,,
1430.64,355,,
1433.08,352,,
1435.53,351,,
1437.98,352,,
1440.42,354,,
1442.86,356,,
1445.31,346,,
1447.75,351,,
1450.19,347,,
1452.63,347,,
1455.07,349,,
1457.51,339,,
1459.95,340,,
1462.38,340,,
1464.82,338,,
1467.26,334,,
1469.69,342,,
1472.13,335,,
1474.56,340,,
1476.99,335,,
1479.43,346,,
1481.86,337,,
1484.29,348,,
1486.72,336,,
1489.15,341,,
1491.58,349,,
1494,337,,
1496.43,333,,
1498.86,340,,
1501.28,345,,
1503.71,339,,
1506.13,344,,
1508.55,340,,
1510.98,341,,
1513.4,341,,
1515.82,337,,
1518.24,336,,
1520.66,339,,
1523.08,340,,
1525.5,347,,
1527.91,349,,
1530.33,351,,
1532.75,342,,
1535.16,345,,
1537.57,356,,
1539.99,352,,
1542.4,352,,
1544.81,349,,
1547.22,351,,
1549.63,354,,
1552.04,352,,
1554.45,357,,
1556.86,349,,
1559.27,352,,
1561.68,357,,
1564.08,357,,
1566.49,350,,
1568.89,350,,
1571.3,353,,
1573.7,354,,
1576.1,359,,
1578.5,355,,
1580.9,354,,
1583.3,355,,
1585.7,357,,
1588.1,358,,
1590.5,353,,
1592.9,354,,
1595.29,357,,
1597.69,358,,
1600.08,363,,
1602.48,352,,
1604.87,356,,
1607.26,359,,
1609.66,359,,
1612.05,350,,
1614.44,354,,
1616.83,353,,
1619.22,356,,
1621.6,347,,
1623.99,348,,
1626.38,344,,
1628.76,343,,
1631.15,345,,
1633.53,346,,
1635.92,343,,
1638.3,344,,
1640.68,345,,
1643.06,345,,
1645.45,340,,
1647.83,344,,
1650.21,350,,
1652.58,350,,
1654.96,348,,
1657.34,349,,
1659.72,341,,
1662.09,345,,
1664.47,352,,
1666.84,341,,
1669.21,348,,
1671.59,345,,
1673.96,351,,
1676.33,348,,
1678.7,350,,
1681.07,349,,
1683.44,349,,
1685.81,347,,
1688.18,352,,
1690.54,358,,
1692.91,355,,
1695.27,348,,
1697.64,359,,
1700,350,,
1702.37,355,,
1704.73,353,,
1707.09,350,,
1709.45,350,,
1711.81,354,,
1714.17,352,,
1716.53,358,,
1718.89,354,,
1721.25,359,,
1723.6,351,,
1725.96,355,,
1728.31,357,,
1730.67,353,,
1733.02,352,,
1735.37,358,,
1737.73,350,,
1740.08,361,,
1742.43,360,,
1744.78,368,,
1747.13,351,,
1749.48,354,,
1751.83,359,,
1754.17,359,,
1756.52,359,,
1758.87,363,,
1761.21,351,,
1763.55,353,,
1765.9,362,,
1768.24,357,,
1770.58,361,,
1772.92,359,,
1775.27,352,,
1777.61,358,,
1779.94,360,,
1782.28,366,,
1784.62,355,,
1786.96,359,,
1789.29,364,,
1791.63,361,,
1793.96,356,,
1796.3,363,,
1798.63,360,,
1800.97,359,,
1803.3,352,,
1805.63,358,,
1807.96,361,,
1810.29,354,,
1812.62,364,,
1814.95,350,,
1817.27,358,,
1819.6,358,,
1821.93,362,,
1824.25,362,,
1826.58,360,,
1828.9,363,,
1831.23,363,,
1833.55,360,,
1835.87,362,,
1838.19,360,,
1840.51,363,,
1842.83,359,,
1845.15,356,,
1847.47,367,,
1849.79,360,,
1852.1,361,,
1854.42,366,,
